File,Exp,Placuta,Trat,MgO,MgO Err,Al2O3,Al2O3 Err,SiO2,SiO2 Err,P,P Err,S,S Err,Cl,Cl Err,K2O,K2O Err,Ca,Ca Err,Ti,Ti Err,V,V Err,Cr,Cr Err,Mn,Mn Err,Fe,Fe Err,Co,Co Err,Ni,Ni Err,Cu,Cu Err,Zn,Zn Err,Ga,Ga Err,As,As Err,Se,Se Err,Rb,Rb Err,Sr,Sr Err,Y,Y Err,Zr,Zr Err,Nb,Nb Err,Mo,Mo Err,Rh,Rh Err,Pd,Pd Err,Ag,Ag Err,Cd,Cd Err,Sn,Sn Err,Sb,Sb Err,Ba,Ba Err,La,La Err,Ce,Ce Err,Hf,Hf Err,Ta,Ta Err,W,W Err,Pt,Pt Err,Au,Au Err,Hg,Hg Err,Tl,Tl Err,Pb,Pb Err,Bi,Bi Err,Th,Th Err,U,U Err
874,1,2,nears,< LOD,0.5297,2.1043,0.1327,9.1421,0.1527,< LOD,0.0115,< LOD,0.0119,43.8546,0.0984,0.1263,0.0054,0.4943,0.0069,< LOD,0.0025,< LOD,0.0041,0.0036,0.0029,0.0273,0.004,0.7134,0.0122,0.0063,0.0021,0.0023,0.0008,0.0018,0.0005,0.0022,0.0004,0.0005,0.0004,0.0008,0.0004,< LOD,0.0003,0.0081,0.0004,0.0204,0.0007,0.0039,0.0006,0.0488,0.0017,0.0007,0.0004,0.002,0.0012,< LOD,0.0007,0.0013,0.0008,< LOD,0.001,< LOD,0.0008,0.0031,0.0022,< LOD,0.0023,0.0925,0.0121,< LOD,0.0116,< LOD,0.0134,0.0002,0.0002,< LOD,0.0051,< LOD,0.0018,< LOD,0.0018,,,< LOD,0.001,< LOD,0.0009,< LOD,0.0008,< LOD,0.0009,< LOD,0.0009,< LOD,0.0021
875,1,2,nears,< LOD,0.5228,1.8934,0.1285,8.8715,0.1506,< LOD,0.0117,< LOD,0.0116,43.2534,0.0977,0.1218,0.0053,0.4531,0.0066,< LOD,0.0024,< LOD,0.0041,0.0059,0.003,0.0272,0.0039,0.7062,0.0122,0.0054,0.0021,0.0024,0.0008,0.0016,0.0005,0.0024,0.0004,0.0004,0.0004,0.001,0.0005,< LOD,0.0003,0.0082,0.0004,0.0213,0.0008,0.004,0.0005,0.0498,0.0017,0.0009,0.0004,0.0021,0.0011,< LOD,0.0007,0.0012,0.0008,< LOD,0.001,< LOD,0.0008,0.004,0.0022,< LOD,0.0023,0.1049,0.0123,< LOD,0.0118,< LOD,0.0137,0.0002,0.0002,< LOD,0.0051,< LOD,0.0019,< LOD,0.0017,,,< LOD,0.001,< LOD,0.0009,0.0014,0.0008,< LOD,0.0009,< LOD,0.0009,< LOD,0.0021
876,1,2,nears,0.5324,0.5277,2.08,0.1313,8.8173,0.1499,< LOD,0.0113,< LOD,0.0115,43.8602,0.0984,0.1285,0.0053,0.4521,0.0066,< LOD,0.0024,< LOD,0.0043,0.0049,0.0028,0.0295,0.004,0.7547,0.0125,0.0059,0.0021,0.0018,0.0008,0.0017,0.0005,0.0024,0.0004,0.0009,0.0004,0.0009,0.0005,< LOD,0.0003,0.008,0.0004,0.021,0.0007,0.0044,0.0006,0.0517,0.0017,0.001,0.0004,0.002,0.0011,< LOD,0.0007,,,< LOD,0.001,< LOD,0.0008,0.0066,0.0022,< LOD,0.0022,0.0951,0.0122,< LOD,0.0116,0.0207,0.0136,< LOD,0.0002,< LOD,0.0051,< LOD,0.0018,,,,,< LOD,0.001,< LOD,0.0008,0.0012,0.0008,0.001,0.001,< LOD,0.0009,< LOD,0.002
877,1,2,nears,< LOD,0.7619,1.7941,0.185,8.5106,0.2108,< LOD,0.0167,< LOD,0.0167,42.9563,0.1376,0.1113,0.0075,0.4485,0.0094,< LOD,0.0035,0.0045,0.0044,0.0035,0.003,0.0248,0.0038,0.668,0.0119,0.0052,0.002,0.0018,0.0008,0.002,0.0005,0.002,0.0004,< LOD,0.0004,< LOD,0.0006,0.0004,0.0004,0.0083,0.0006,0.0205,0.001,0.0043,0.0008,0.051,0.0024,0.0007,0.0006,< LOD,0.0016,< LOD,0.0009,0.002,0.0011,< LOD,0.0015,< LOD,0.0012,0.0073,0.0031,< LOD,0.0031,0.1223,0.0178,< LOD,0.0168,< LOD,0.0194,< LOD,0.0002,< LOD,0.0068,< LOD,0.0018,< LOD,0.0025,,,< LOD,0.0014,< LOD,0.0013,< LOD,0.0012,< LOD,0.0013,< LOD,0.0012,< LOD,0.003
878,1,2,nears,< LOD,0.7408,1.9562,0.1837,9.0133,0.2141,< LOD,0.0163,< LOD,0.0168,42.6559,0.1371,0.1118,0.0073,0.4462,0.0093,< LOD,0.0034,< LOD,0.0041,0.0031,0.0028,0.0264,0.0039,0.6592,0.0118,0.0051,0.002,0.0017,0.0008,0.0016,0.0004,0.002,0.0003,0.0006,0.0004,0.0011,0.0006,< LOD,0.0004,0.0078,0.0006,0.0194,0.001,0.0044,0.0008,0.0493,0.0024,0.001,0.0006,< LOD,0.0016,< LOD,0.0009,,,,,< LOD,0.0012,0.006,0.0032,< LOD,0.0031,0.1058,0.0179,< LOD,0.0169,0.0248,0.0196,0.0002,0.0002,< LOD,0.007,< LOD,0.0018,< LOD,0.0024,,,< LOD,0.0014,< LOD,0.0012,0.0014,0.0011,< LOD,0.0013,< LOD,0.0012,< LOD,0.0028
879,1,1,lustru,4.9324,0.7164,19.5591,0.4386,63.479,0.5858,0.0505,0.0175,0.7731,0.0245,0.1273,0.0193,2.8116,0.0291,5.3338,0.0314,0.4086,0.0078,0.0107,0.0085,0.0176,0.0051,0.0623,0.0044,3.5737,0.0261,< LOD,0.0034,0.0062,0.001,0.0038,0.0007,0.0073,0.0008,0.0009,0.0005,0.0012,0.0007,< LOD,0.0003,0.0121,0.0007,0.0158,0.0007,0.0026,0.0004,0.014,0.0005,0.0006,0.0004,< LOD,0.0012,< LOD,0.0009,0.0018,0.0011,,,< LOD,0.0011,< LOD,0.0027,< LOD,0.003,0.0417,0.0073,< LOD,0.0106,< LOD,0.013,< LOD,0.0002,< LOD,0.0049,< LOD,0.0019,,,,,< LOD,0.0012,< LOD,0.0012,0.0022,0.0013,< LOD,0.0013,< LOD,0.0008,< LOD,0.0003
880,1,1,lustru,5.2188,0.7277,19.3102,0.4364,64.1232,0.5887,0.0539,0.0175,0.8185,0.0251,0.1485,0.0195,2.7394,0.0288,5.3784,0.0315,0.3999,0.0078,0.0174,0.0087,0.012,0.005,0.0696,0.0045,3.5201,0.0259,< LOD,0.0034,0.0061,0.0009,0.0045,0.0007,0.0078,0.0008,0.001,0.0005,0.0007,0.0006,< LOD,0.0003,0.0115,0.0007,0.0156,0.0007,0.0023,0.0004,0.0135,0.0005,0.0012,0.0004,< LOD,0.0012,< LOD,0.0009,0.0015,0.0011,,,< LOD,0.0011,< LOD,0.0026,0.0032,0.003,0.0399,0.007,< LOD,0.0103,< LOD,0.0125,< LOD,0.0002,< LOD,0.0051,< LOD,0.0019,,,,,< LOD,0.0013,< LOD,0.0012,0.0014,0.0012,0.0014,0.0013,< LOD,0.0008,< LOD,0.0003
881,1,1,lustru,5.3155,0.7244,19.3358,0.4361,63.4832,0.5853,0.0489,0.0173,0.8385,0.0252,0.1325,0.0193,2.7689,0.0289,5.2826,0.0312,0.3958,0.0077,0.0146,0.0087,0.0108,0.005,0.0643,0.0045,3.5389,0.0259,< LOD,0.0034,0.0052,0.0009,0.0046,0.0007,0.0066,0.0008,0.0009,0.0005,0.0014,0.0006,0.0003,0.0003,0.0112,0.0007,0.0158,0.0007,0.0023,0.0004,0.0136,0.0005,0.0007,0.0004,< LOD,0.0012,< LOD,0.0009,,,< LOD,0.0014,< LOD,0.0011,< LOD,0.0027,< LOD,0.003,0.0451,0.0071,< LOD,0.0103,< LOD,0.0125,< LOD,0.0002,< LOD,0.0049,< LOD,0.002,< LOD,0.0015,,,< LOD,0.0013,< LOD,0.0012,< LOD,0.0012,< LOD,0.0014,< LOD,0.0009,< LOD,0.0003
882,1,3,lustru,4.7618,0.6989,16.7797,0.4103,65.9455,0.5957,0.0654,0.0181,1.5884,0.0329,0.1773,0.0198,2.3306,0.0267,5.7881,0.0326,0.4058,0.0079,0.0123,0.0086,0.0095,0.0051,0.0685,0.0047,3.5419,0.0264,< LOD,0.0034,0.0045,0.001,0.0032,0.0007,0.0103,0.0009,0.0013,0.0005,< LOD,0.0007,< LOD,0.0003,0.0114,0.0007,0.0152,0.0007,0.0024,0.0004,0.0143,0.0006,0.001,0.0004,< LOD,0.0012,< LOD,0.0009,,,< LOD,0.0014,< LOD,0.0011,0.0035,0.0027,< LOD,0.003,0.0453,0.0072,< LOD,0.0102,0.0133,0.0126,< LOD,0.0002,< LOD,0.0054,< LOD,0.0021,< LOD,0.0016,,,< LOD,0.0014,< LOD,0.0011,0.0026,0.0013,< LOD,0.0014,< LOD,0.0008,< LOD,0.0003
883,1,3,lustru,4.9853,0.7098,16.8546,0.4117,65.8424,0.5956,0.0371,0.0174,1.5442,0.0325,0.1475,0.0195,2.4001,0.0271,5.7234,0.0324,0.4081,0.0079,0.0187,0.0087,0.0103,0.0052,0.0686,0.0047,3.5654,0.0264,0.0038,0.0035,0.0056,0.0009,0.0041,0.0007,0.0103,0.0009,0.0013,0.0005,0.0013,0.0007,< LOD,0.0003,0.0116,0.0007,0.0156,0.0007,0.0026,0.0004,0.0142,0.0005,0.0008,0.0004,< LOD,0.0012,< LOD,0.0009,0.0012,0.0011,,,< LOD,0.0011,< LOD,0.0027,< LOD,0.003,0.0399,0.0073,< LOD,0.0101,< LOD,0.0126,< LOD,0.0002,< LOD,0.005,< LOD,0.002,,,,,< LOD,0.0014,< LOD,0.0012,0.0028,0.0013,< LOD,0.0013,< LOD,0.0008,< LOD,0.0003
